Post_Season_Coach_Poll_Rank,Team_Name,season,TeamID
1,North Carolina,2017,e9ca48b2-00ba-41c0-a02b-6885a2da1ff1
2,Gonzaga ,2017,2f4d21f8-6d5f-48a5-abca-52a30583871a
3,Oregon,2017,1da70895-f77f-44ef-b216-d63c02e696eb
4,Kansas,2017,fae4855b-1b64-4b40-a632-9ed345e1e952
5,Kentucky,2017,2267a1f4-68f6-418b-aaf6-2aa0c4b291f1
6,South Carolina,2017,1c7ec608-3b36-4cee-adac-9265e3792597
7,Arizona,2017,9b166a3f-e64b-4825-bb6b-92c6f0418263
8,Villanova,2017,4383eb6a-7fd8-4ff2-94c5-43c933121e88
9,UCLA,2017,ec0d6b67-4b16-4b50-92b2-1a651dae6b0f
10,Florida,2017,912f8837-1d81-4ef9-a576-a21f271d4c64
11,West Virginia,2017,f770d3a2-221c-49ce-9c7a-680f7417fe9e
12,Baylor,2017,db6e1cab-3fa3-4a93-a673-8b2a358ff4bf
13,Duke,2017,faeb1160-5d15-4f26-99fc-c441cf21fc7f
14,Louisville,2017,b795ddbc-baab-4499-8803-52e8608520ab
15,Purdue,2017,12d7f888-675b-459f-9099-a38f771d8a95
16,Wisconsin,2017,c7569eae-5b93-4197-b204-6f3a62146b25
17,Michigan,2017,bdc2561d-f603-4fab-a262-f1d2af462277
18,Xavier,2017,0d8a328f-20ce-410b-bed1-15fc01308aaf
19,Butler,2017,bdb7d7a4-45f8-4bf3-ab85-15488c451494
20,Notre Dame,2017,80962f09-8821-48b6-8cf0-0cf0eea56aa8
21,Wichita State,2017,f38b58de-3273-4723-a78b-2f918e9aa2d5
22,Cincinnati,2017,a17dfc54-415f-49c3-a2e6-d6fa9db18b0a
23,SMU,2017,3f4515ea-4472-46b9-ac9e-16d7d8f22a38
24,Florida State,2017,d3c8a767-b6fc-45d4-a5f2-18406f2993f1
25,Iowa State,2017,0e4258fa-3154-4c16-b693-adecab184c6c
1,Villanova,2016,4383eb6a-7fd8-4ff2-94c5-43c933121e88
2,North Carolina,2016,e9ca48b2-00ba-41c0-a02b-6885a2da1ff1
3,Kansas,2016,fae4855b-1b64-4b40-a632-9ed345e1e952
4,Oklahoma,2016,b2fda957-e15c-4fb2-8a13-6e58496f561e
5,Virginia,2016,56913910-87f7-4ad7-ae3b-5cd9fb218fd9
6,Oregon,2016,1da70895-f77f-44ef-b216-d63c02e696eb
7,Michigan State,2016,a41d5a05-4c11-4171-a57e-e7a1ea325a6d
8,Miami,2016,7aec5187-cb1b-45e5-8f7d-406d766cdc73
9,Indiana,2016,c3f0a8ce-af67-497f-a750-3b859376b20a
10,Syracuse,2016,8cd24de1-2be8-4b77-bcfa-47be0495a5f4
11,Xavier,2016,0d8a328f-20ce-410b-bed1-15fc01308aaf
12,Texas A&M,2016,ef184799-d79b-49d9-a662-991eaf4044cd
13,Maryland,2016,2778d005-cc14-4e58-9bf2-3fc37bffb62f
14,West Virginia,2016,f770d3a2-221c-49ce-9c7a-680f7417fe9e
15,Iowa State,2016,0e4258fa-3154-4c16-b693-adecab184c6c
16,Kentucky,2016,2267a1f4-68f6-418b-aaf6-2aa0c4b291f1
17,Notre Dame,2016,80962f09-8821-48b6-8cf0-0cf0eea56aa8
18,Duke,2016,faeb1160-5d15-4f26-99fc-c441cf21fc7f
19,Purdue,2016,12d7f888-675b-459f-9099-a38f771d8a95
20,Utah,2016,0d037a5d-827a-44dd-8b70-57603d671d5d
21,Gonzaga,2016,2f4d21f8-6d5f-48a5-abca-52a30583871a
22,Arizona,2016,9b166a3f-e64b-4825-bb6b-92c6f0418263
23,Wisconsin,2016,c7569eae-5b93-4197-b204-6f3a62146b25
24,Baylor,2016,db6e1cab-3fa3-4a93-a673-8b2a358ff4bf
25,Iowa,2016,c10544de-e3bd-4776-ba2e-83df8c017fd1
1,Duke,2015,faeb1160-5d15-4f26-99fc-c441cf21fc7f
2,Wisconsin,2015,c7569eae-5b93-4197-b204-6f3a62146b25
3,Kentucky,2015,2267a1f4-68f6-418b-aaf6-2aa0c4b291f1
4,Arizona,2015,9b166a3f-e64b-4825-bb6b-92c6f0418263
5,Notre Dame,2015,80962f09-8821-48b6-8cf0-0cf0eea56aa8
6,Gonzaga,2015,2f4d21f8-6d5f-48a5-abca-52a30583871a
7,Michigan State,2015,a41d5a05-4c11-4171-a57e-e7a1ea325a6d
8,Virginia,2015,56913910-87f7-4ad7-ae3b-5cd9fb218fd9
9,Villanova,2015,4383eb6a-7fd8-4ff2-94c5-43c933121e88
10,Louisville,2015,b795ddbc-baab-4499-8803-52e8608520ab
11,Wichita State,2015,f38b58de-3273-4723-a78b-2f918e9aa2d5
12,North Carolina,2015,e9ca48b2-00ba-41c0-a02b-6885a2da1ff1
13,Oklahoma,2015,b2fda957-e15c-4fb2-8a13-6e58496f561e
14,Northern Iowa,2015,
15,Utah,2015,0d037a5d-827a-44dd-8b70-57603d671d5d
16,Maryland,2015,2778d005-cc14-4e58-9bf2-3fc37bffb62f
17,Kansas,2015,fae4855b-1b64-4b40-a632-9ed345e1e952
18,West Virginia,2015,f770d3a2-221c-49ce-9c7a-680f7417fe9e
19,Iowa State,2015,0e4258fa-3154-4c16-b693-adecab184c6c
20,Arkansas,2015,c70c23c4-ab09-4797-a1af-792c848ab17f
21,Baylor,2015,db6e1cab-3fa3-4a93-a673-8b2a358ff4bf
22,Xavier,2015,0d8a328f-20ce-410b-bed1-15fc01308aaf
23,Butler,2015,bdb7d7a4-45f8-4bf3-ab85-15488c451494
24,NC State,2015,52df1e19-b142-4a76-a439-ad68455d0581
25,Oregon,2015,1da70895-f77f-44ef-b216-d63c02e696eb
1,Uconn,2014,efba5350-79bc-47aa-a189-db177b95b491
2,Kentucky,2014,2267a1f4-68f6-418b-aaf6-2aa0c4b291f1
3,Florida,2014,912f8837-1d81-4ef9-a576-a21f271d4c64
4,Wisconsin,2014,c7569eae-5b93-4197-b204-6f3a62146b25
5,Arizona,2014,9b166a3f-e64b-4825-bb6b-92c6f0418263
6,Michigan,2014,bdc2561d-f603-4fab-a262-f1d2af462277
7,Wichita State,2014,f38b58de-3273-4723-a78b-2f918e9aa2d5
8,Michigan State,2014,a41d5a05-4c11-4171-a57e-e7a1ea325a6d
9,Louisville,2014,b795ddbc-baab-4499-8803-52e8608520ab
10,Virginia,2014,56913910-87f7-4ad7-ae3b-5cd9fb218fd9
11,Iowa State,2014,0e4258fa-3154-4c16-b693-adecab184c6c
12,San Diego State,2014,e6914f16-ca37-4d2e-ba26-a425910283e2
13,Villanova,2014,4383eb6a-7fd8-4ff2-94c5-43c933121e88
14,Kansas,2014,fae4855b-1b64-4b40-a632-9ed345e1e952
15,UCLA,2014,ec0d6b67-4b16-4b50-92b2-1a651dae6b0f
16,Duke,2014,faeb1160-5d15-4f26-99fc-c441cf21fc7f
17,Syracuse,2014,8cd24de1-2be8-4b77-bcfa-47be0495a5f4
18,Baylor,2014,db6e1cab-3fa3-4a93-a673-8b2a358ff4bf
19,Dayton,2014,632616c5-2dbb-4017-a449-c9dfc303f026
20,Creighton,2014,7d797407-623e-476d-b299-46de4275414d
21,North Carolina,2014,e9ca48b2-00ba-41c0-a02b-6885a2da1ff1
22,Cincinnati,2014,a17dfc54-415f-49c3-a2e6-d6fa9db18b0a
23,Tennessee,2014,b827dbdf-230f-4916-9703-3bb9004e26eb
24,Stanford,2014,683ab61f-546f-44da-b085-c3a5740554aa
25,Saint Louis,2014,1e42cce3-236b-4f3e-9650-2c45e6332e1e
1,Louisville,2013,b795ddbc-baab-4499-8803-52e8608520ab
2,Michigan,2013,bdc2561d-f603-4fab-a262-f1d2af462277
3,Syracuse,2013,8cd24de1-2be8-4b77-bcfa-47be0495a5f4
4,Wichita State,2013,f38b58de-3273-4723-a78b-2f918e9aa2d5
5,Duke,2013,faeb1160-5d15-4f26-99fc-c441cf21fc7f
6,Ohio State,2013,857462b3-0ab6-4d26-9669-10ca354e382b
7,Indiana,2013,c3f0a8ce-af67-497f-a750-3b859376b20a
8,Kansas,2013,fae4855b-1b64-4b40-a632-9ed345e1e952
9,Florida,2013,912f8837-1d81-4ef9-a576-a21f271d4c64
10,Miami,2013,7aec5187-cb1b-45e5-8f7d-406d766cdc73
11,Marquette,2013,06f7c904-0ac7-4125-b0f4-f4871bb69057
12,Gonzaga,2013,2f4d21f8-6d5f-48a5-abca-52a30583871a
13,Michigan State,2013,a41d5a05-4c11-4171-a57e-e7a1ea325a6d
14,Arizona,2013,9b166a3f-e64b-4825-bb6b-92c6f0418263
15,Oregon,2013,1da70895-f77f-44ef-b216-d63c02e696eb
16,Saint Louis,2013,1e42cce3-236b-4f3e-9650-2c45e6332e1e
17,Georgetown,2013,8736b67f-5924-400b-bf94-3bd804c36600
18,Memphis,2013,1551b3a0-6d10-4ffa-8dfa-73b56f004553
19,New Mexico,2013,1b1977ec-b32f-4ce3-95a4-d07bab4816cd
20,Kansas State,2013,d203f38a-a166-4258-bca2-e161b591ecfb
21,Creighton,2013,7d797407-623e-476d-b299-46de4275414d
22,Wisconsin,2013,c7569eae-5b93-4197-b204-6f3a62146b25
23,VCU,2013,c1c1e6df-a383-4fbd-ba7b-32d4f9ef9518
24,La Salle,2013,ad9a3e21-4585-4e35-8946-290fe4a16f18
25,Florida Gulf Coast,2013,
